# Generated release runtime artifact inventory
# Regenerate: .\gradlew.bat -I scripts/write-release-runtime-inventory.init.gradle :app:writeReleaseRuntimeInventory --no-daemon
# coordinate	artifact	bytes	sha256
androidx.savedstate:savedstate-android:1.4.0	savedstate-android:aar:-	136412	1656ce62cd233d488bdbbd42e533b80b22435b7a690acae6dbe7302392512c14
androidx.savedstate:savedstate-compose-android:1.4.0	savedstate-compose-android:aar:-	15893	0f0ae3032d6c6eea834ee22179c8976160d09d841d30e47f53f56b1b3438774b
androidx.savedstate:savedstate-ktx:1.4.0	savedstate-ktx:aar:-	5764	23593939446bc5a154a1e35fddd87b82f19e2adf072207f115bf29a8b431c1d3
androidx.sqlite:sqlite-android:2.6.2	sqlite-android:aar:-	38190	514f8de4f7bdba2fa8d748d2b22fdcdfb623bd3770a667bf0adc0ad259f03ed2
androidx.sqlite:sqlite-framework-android:2.6.2	sqlite-framework-android:aar:-	60894	b19125c7fff34222e0f380361fc179ab214e4d82e1a50b0c068ca26c851a6231
androidx.startup:startup-runtime:1.1.1	startup-runtime:aar:-	19371	e0a6329a371262fe4c450372b70fdaf33b769ef6917094723787cfce896b1dd3
androidx.tracing:tracing-ktx:1.2.0	tracing-ktx:aar:-	6007	c33f9cbd931e6190ca38aa09bf8a7a8a19391d4b0fb7a7605a6b59f2d42580d1
androidx.tracing:tracing:1.2.0	tracing:aar:-	6060	6faa90390d1fdbf0adb9a99bf99de67b94c6c6f35aea9510593a9d17973736a2
androidx.transition:transition:1.6.0	transition:aar:-	195762	248c45e1254d31181d2047b0b01394f09a2e539a5d9e89b773d53c62c96860f6
androidx.vectordrawable:vectordrawable-animated:1.1.0	vectordrawable-animated:aar:-	34496	76da2c502371d9c38054df5e2b248d00da87809ed058f3363eae87ce5e2403f8
androidx.vectordrawable:vectordrawable:1.1.0	vectordrawable:aar:-	33236	46fd633ac01b49b7fcabc263bf098c5a8b9e9a69774d234edcca04fb02df8e26
androidx.versionedparcelable:versionedparcelable:1.1.1	versionedparcelable:aar:-	31061	57e8d93260d18d5b9007c9eed3c64ad159de90c8609ebfc74a347cbd514535a4
androidx.webkit:webkit:1.16.0	webkit:aar:-	272317	031706e8350a0b238aac2ed705189ec01267cdce02a3d51d8b6a13f41bab1201
androidx.window:window-core-android:1.5.0	window-core-android:aar:-	18779	d0d50db0756194a6d49a66ad8dafd17b24b4c5fbd8379375056e2eb9bdfeaf22
androidx.window:window:1.5.0	window:aar:-	485264	5de2d48aa578402f46deb5294a955cee62f0c7d8c1840ef626fc7afb8abe22f9
androidx.work:work-runtime-ktx:2.11.2	work-runtime-ktx:aar:-	6103	1f4908483508d780d19ddb6ff345c75672327388499d7ddbb7dd0dd6b588a753
androidx.work:work-runtime:2.11.2	work-runtime:aar:-	1915957	7ed55d308f72d274bad72b224d568f70ae82b968de40aea31465688fb5c08d5c
com.caverock:androidsvg-aar:1.4	androidsvg-aar:aar:-	202395	02a5b08a2b35d2d58eb2eaca9d84ac00fb341da725fdbd653ea3ed130437e95a
com.github.luben:zstd-jni:1.5.7-16	zstd-jni:aar:-	947274	c333b50b4bbea6eb93e172fbc0581d2736e4b7c5f527819c347dca52d8dafe67
com.github.mwiede:jsch:2.28.0	jsch:jar:-	600365	916f950708937fa1e7813f1e0b6879854e456c10770033dee54fa4df1de73974
com.google.accompanist:accompanist-drawablepainter:0.37.3	accompanist-drawablepainter:aar:-	11349	0453c4c54ec3ef13ae18b83300f1d2a078b1ca92d3a3781437516630e3b850df
com.google.code.findbugs:jsr305:3.0.2	jsr305:jar:-	19936	766ad2a0783f2687962c8ad74ceecc38a28b9f72a2d085ee438b7813e928d0c7
com.google.errorprone:error_prone_annotations:2.18.0	error_prone_annotations:jar:-	16017	9e6814cb71816988a4fd1b07a993a8f21bb7058d522c162b1de849e19bea54ae
com.google.guava:failureaccess:1.0.1	failureaccess:jar:-	4617	a171ee4c734dd2da837e4b16be9df4661afab72a41adaf31eb84dfdaf936ca26
com.google.guava:guava:32.0.0-jre	guava:jar:-	3034489	39f3550b0343d8d19dd4e83bd165b58ea3389d2ddb9f2148e63903f79ecdb114
com.google.guava:listenablefuture:9999.0-empty-to-avoid-conflict-with-guava	listenablefuture:jar:-	2199	b372a037d4230aa57fbeffdef30fd6123f9c0c2db85d0aced00c91b974f33f99
com.google.j2objc:j2objc-annotations:2.8	j2objc-annotations:jar:-	9301	f02a95fa1a5e95edb3ed859fd0fb7df709d121a35290eff8b74dce2ab7f4d6ed
com.materialkolor:material-color-utilities-android:2.0.2	material-color-utilities-android:aar:-	125477	55cf112c62a40bf405958e6b7529f3b604cd394ad940fc0cede3dd335bbac35d
com.squareup.okhttp3:okhttp:4.12.0	okhttp:jar:-	789531	b1050081b14bb7a3a7e55a4d3ef01b5dcfabc453b4573a4fc019767191d5f4e0
